구분,매매,전세
,3.3㎡,3.3㎡
경상남도 거제시,500,367
경상남도 거창군,608,391
경상남도 고성군,327,217
경상남도 김해시,704,555
경상남도 남해군,375,220
경상남도 밀양시,533,337
경상남도 사천시,429,359
경상남도 산청군,571,353
경상남도 양산시,732,496
경상남도 의령군,672,448
경상남도 진주시,844,654
경상남도 창녕군,488,364
경상남도 창원시 마산합포구,660,537
경상남도 창원시 마산회원구,722,588
경상남도 창원시 성산구,"1,042",786
경상남도 창원시 의창구,"1,280",820
경상남도 창원시 진해구,729,572
경상남도 통영시,582,453
경상남도 하동군,338,224
경상남도 함안군,497,420
경상남도 함양군,576,415
경상남도 합천군,336,229
부산광역시 강서구,"1,331",850
부산광역시 금정구,"1,304",808
부산광역시 기장군,982,677
부산광역시 남구,"1,377",822
부산광역시 동구,"1,316",735
부산광역시 동래구,"1,593",867
부산광역시 부산진구,"1,095",690
부산광역시 북구,971,641
부산광역시 사상구,752,533
부산광역시 사하구,775,522
부산광역시 서구,"1,181",728
부산광역시 수영구,"2,115",870
부산광역시 연제구,"1,554",859
부산광역시 영도구,722,479
부산광역시 중구,669,387
부산광역시 해운대구,"1,719",843