뚜레쥬르 지점,뚜레쥬르 화정중앙,뚜레쥬르 화정덕양구청,뚜레쥬르 마두역,뚜레쥬르 일산동국대병원점,뚜레쥬르 일산산들,뚜레쥬르 광명휴먼시아,뚜레쥬르 광명하안,뚜레쥬르 곤지암,뚜레쥬르 광주탄벌,뚜레쥬르 구리인창삼보,뚜레쥬르 카페구리갈매,뚜레쥬르 안양금정역,뚜레쥬르 김포마송,뚜레쥬르 김포마산,뚜레쥬르 카페양곡,뚜레쥬르 장현,뚜레쥬르 마석창현,뚜레쥬르 반정아이파크캐슬,뚜레쥬르 카페부천역,뚜레쥬르 부천대성,뚜레쥬르 성남하나로마트,뚜레쥬르 카페서판교,뚜레쥬르 카페서현역,뚜레쥬르 판교위든타워,뚜레쥬르 수원고색,뚜레쥬르 수원판타지움,뚜레쥬르 수원동보신명,뚜레쥬르 수원정자,뚜레쥬르 수원천천푸르지오,뚜레쥬르 매교솔밭사거리,뚜레쥬르 수원역로데오,뚜레쥬르 매교힐스테이트,뚜레쥬르 배곧한라비발디,뚜레쥬르 카페시흥정왕,뚜레쥬르 시화세종,뚜레쥬르 카페안산중앙,뚜레쥬르 안산다농,뚜레쥬르 안산센트럴포레,뚜레쥬르 안양호계현대,뚜레쥬르 안양수촌마을,뚜레쥬르 평촌학원가,뚜레쥬르 양주옥정역,뚜레쥬르 양주옥정고,뚜레쥬르 옥정한신더휴,뚜레쥬르 양평서종,뚜레쥬르 여주역푸르지오,뚜레쥬르 여주오학,뚜레쥬르 오산법원,뚜레쥬르 오산누읍,뚜레쥬르 오산역,뚜레쥬르 용인흥덕,뚜레쥬르 동천동문,뚜레쥬르 용인데이파크,뚜레쥬르 수지구청역,뚜레쥬르 용인죽전,뚜레쥬르 용인파머스마켓,뚜레쥬르 용인양지,뚜레쥬르 용인둔전,뚜레쥬르 의왕역,뚜레쥬르 오전중앙,뚜레쥬르 신곡초교,뚜레쥬르 의정부신곡,뚜레쥬르 의정부센트럴,뚜레쥬르 이천SK하이닉스,뚜레쥬르 이천창전사거리,뚜레쥬르 파주운정가람,뚜레쥬르 파주금촌역,뚜레쥬르 평택에이스고덕,뚜레쥬르 평택법원,뚜레쥬르 평택지제영신,뚜레쥬르 하남신장,뚜레쥬르 미사강변,뚜레쥬르 화성시청,뚜레쥬르 동탄지스타,뚜레쥬르 동탄메타폴리스,뚜레쥬르 동탄역,뚜레쥬르 향남2지구,뚜레쥬르 병점금강,뚜레쥬르 병점중심상가
마늘 단짝 고구마,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5500,4900,,,4900,4900,4900,4900,5400,4900,4900,4900,,4900,4900,5400,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,4900,4900,4900,4900,,4900,4900,,4900,4900,4900,6000,4900,4900,4900,4900,4900,4900,4900,4900,4900,5500,4900,4900,4900,,,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
깊은 밤 뺑스위스,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,5000,4300,4300,,4300,4300,4300,4300,4500,4300,4300,4300,4300,4300,4300,,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,,4300,4300,,4300,4300,,4300,4300,,4300,4300,4300,5000,4300,4300,4300,4300,4300,4300,4300,4300,4300,4500,4300,4300,4300,,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
BELT 샌드위치,,7500,6900,6900,,7100,7100,,6900,7000,7000,6900,7800,,6900,,6900,7100,,6900,7800,,7000,,7000,7200,6900,7000,7200,6900,,6900,7400,6900,6900,7300,6900,6900,7100,,6900,,6900,6900,,7500,7500,,6900,6900,6900,,,7800,7500,7200,,,6900,6900,,6900,6900,,7500,,,,,7300,6900,7300,6900,6900,6900,,6900,7200,6900
BLT콥 샐러드,,,,,8500,,,8500,8500,,8500,,,7000,,,8500,,,,,,8500,,8500,,,,8400,,,,,,,,8500,,,,,,,,8500,8500,8500,,,,,,,10000,,,,8500,,,8500,8500,8500,,,,,,,8500,,,,,,,,,8500
쉬림프 에그 샐러드,,10500,,10500,,,,10500,,,,,,,,,,10500,,,,,,,,,,10900,,,,11000,,,,,,10500,,,,11000,,,,,,,,8500,,,11900,10000,1100,11000,,8500,,,,8500,,,,,10500,,,,,,10500,,,,,11000,
에그튜나 샌드위치,,7500,,,,,,7200,,,7200,7200,8500,7500,,,,7200,,,,,,,,,7200,,7200,7200,,7200,7700,,,7700,,,,,,7500,,6900,7200,7500,,,7200,7200,,,8600,,7700,7500,,7200,,,,7200,,,,,7200,,,,,7300,7200,7200,,,,,7200
반숙란 샌드위치,,,,7300,,,,,7300,,,,,,,,,,,7300,,,7500,7300,,,7300,7300,,7300,7500,,,,,,,,,,,7500,,,,7500,,,,7300,,,,8000,7700,,,7300,,,7300,,7300,,,,,,7300,7300,7300,,,,,,,,
고소한 햄치즈 에그 샌드위치,7300,,,7300,,,7300,7300,,,,,8300,,,,,7300,,,7900,7300,,,,,,7300,7300,,,,,7300,,,,,7300,,7300,7300,,,7300,7500,7500,,,,,,8300,8000,7300,,,,,,,,,,,,,,,,,7300,7300,7300,7300,,7300,,7300
고소한 햄에그 샌드위치,,,,,,,,7500,,,7500,,,,7500,,7500,,,,,,,7500,7500,7500,,,,,7500,,7500,,,,,,7500,,,7800,,,7500,7500,,,,7500,,,,,,,,,7500,7500,,7500,,,7500,,,,,7300,,,,7500,,8700,7500,7500,
통밀크랜베리치킨샌드위치,7200,,,,,,7200,,,7200,,,,,,,,,,,,7700,,,,,,7200,7200,,,,,,7200,,,,7200,,,7500,,,7200,7500,7500,,7200,,,,,7800,,,,7200,7200,7200,,,,,,,,,,,,,,7200,7200,8700,7200,,
통밀후레쉬 샌드위치,7500,7500,7400,7000,,7000,7100,7000,7000,6900,,7000,7800,7000,7000,,7000,7200,,,,7700,7500,7000,,7200,,7000,7200,7000,7500,,7600,7000,7000,7700,7000,7000,7000,,7000,,,7000,,6900,7500,,7000,,7400,7000,,7800,7400,7500,7000,7000,7000,7000,,7000,,,,,,,7000,7500,7000,7300,7000,7000,7000,8700,7000,7500,7000
NEW 아삭 햄치즈 패스트리,,7500,,,,7000,7000,,,7000,7000,7000,,7000,,7000,7000,7200,,,,7700,,7000,7000,7200,,7000,7000,7000,,7000,7500,7000,,7500,7000,,7200,,,,,,,7500,7500,,,,,,8400,7800,7400,7500,7000,7000,7000,7000,,7000,,,7500,,7000,,,,7000,7200,7000,,7000,8700,7000,7200,7000
쉬림프 아삭 패스트리,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,7500,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.E.L.T 샌드위치,7500,7500,7000,7000,,7000,7100,,,6900,7200,7000,,7200,,,7000,7100,,7000,,,,7000,,,,7200,7200,7000,7700,,7400,7000,,7500,7000,7000,,,7000,7500,,,7000,7500,,,7000,,7000,7200,8600,,7400,7500,,7000,,7000,7000,,,,,,7000,,,7500,7000,,7000,7000,,8700,,7500,
고소한 곡물식빵,4900,4900,,4900,4900,4900,5200,4700,4900,4800,4900,4900,6000,4800,4900,,4900,5000,4900,4900,5900,5000,,,,,4900,5200,,4900,5300,4900,,,4900,5400,4900,4900,,4900,4900,5200,4900,4900,4900,5000,5000,,4900,4900,5200,4900,5500,5800,5400,5200,,4900,,,4900,4900,4900,,5300,4900,4900,,,4900,4900,4900,,4900,,,4900,4900,4900
데일리 우유식빵,3700,3700,3800,3700,3700,3700,4000,3700,3700,3800,3700,3700,5000,3600,3700,3700,3700,3800,3700,3700,4400,3800,3800,3700,3900,3700,3700,3800,,3700,4000,3900,4300,3700,3700,4100,3700,3700,3700,3700,3700,3900,3700,3700,3700,3900,3800,3800,3700,3700,4000,3700,4100,4700,4100,4000,3700,3700,3700,,3700,3700,3700,,4300,3700,3700,4300,3700,3700,3700,3700,3700,3700,3700,4200,3700,3700,3700
2배 더 진해진 순진 우유식빵,5600,5600,5700,,,5600,5600,5600,,5800,5600,,,5600,5600,5600,5600,5600,,3000,6000,,,,5600,5600,5600,,5600,5600,,5700,5600,5600,5600,,,5600,5600,,5600,5600,5600,,5600,5600,5600,,,,,,5700,6000,,5600,5600,5600,,5600,5600,5600,5600,,,5600,5600,,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
그대로 구워먹는 꿀 토스트 식빵,5500,5500,5500,,5500,5500,,4700,5500,5700,5500,,7000,5300,,5500,,,5500,5500,6200,5500,5500,,,5500,5500,5500,5500,5500,5500,5700,5800,5500,5500,,5500,5500,5700,5500,5500,5500,5500,5500,5500,5300,5400,,5500,5500,,,5700,5800,,5500,,5500,,,5500,,5500,,,5500,5500,,5500,5500,,5500,5500,5500,5500,,5500,5500,5500
착한 빵식 통밀빵,5200,4900,4900,4900,4900,4900,,,4900,4700,4900,4900,,,4900,4900,4900,,4900,4900,4900,,,4900,4900,,4900,4900,4900,4900,5000,5000,4900,4900,4900,5100,4900,4900,5200,,4900,4900,4900,4900,,4700,5200,5300,,,4900,4900,4700,5000,4900,5000,4900,4900,4900,4900,4900,4900,4900,,5200,4900,,,,4900,4900,4900,,4900,4900,4900,4900,,
고단백 현미식빵,3900,3900,3900,,3900,3900,,3900,3900,,3900,3900,,3800,2900,3900,,,,3900,4300,3900,3800,,4900,,3900,4200,,,4000,3900,,3900,,4100,3900,,4000,3900,3900,3900,,3900,3900,3800,4000,,,3900,3900,,4000,4300,3900,4000,3900,3900,,,3900,,3900,,,,3900,,3900,,3900,3900,,,,4100,3900,3900,3900
마구마구 밤식빵 (대),7700,6900,7400,7400,,6900,7400,6900,6900,,6900,8100,8500,6900,6900,,,,6900,6900,8400,,,,7500,7900,6900,,,,7500,,7700,6900,,,6900,6900,7500,,,7500,6900,6900,6900,7300,7200,,,,,3900,,7700,,7800,,6900,,6900,6900,6900,6900,,8300,,7500,,6900,,6900,,6500,,,,,,6900
마구마구 밤식빵 (소),3900,,,,3900,,3900,,,4000,,,,,,3900,3900,4000,,3900,4500,4400,,3900,4200,4600,,4800,4400,3900,,4500,,,3900,4500,,,3900,,3900,4000,3900,,,,,3900,,,,,4500,,,,3900,3900,4000,,,,3900,,,3900,,5300,3900,3900,,4200,3900,3900,3900,4900,3900,,3900
TLJ 옥수수 식빵,5700,,5300,,,,,5300,5300,5500,5300,,6500,5100,5300,5300,5300,,5300,,6200,,,,5300,5300,4300,,5300,,,5400,5900,5300,,5600,5300,5300,5500,,5300,5600,5300,5300,5300,5700,5900,5300,,,5500,,6000,6000,,5500,5300,5300,,5300,,5300,,,5800,,5300,5800,5300,5300,5300,5500,5300,,,,,,5300
순수한 맛 순우유롤(봉),5500,5300,,,5300,5300,5300,5300,5300,5300,5300,5300,6800,5100,5300,5300,5300,5300,,,6000,,,5300,,5100,5300,5300,5300,,5500,5300,,,5300,5500,5300,5300,5500,5300,5300,5300,,5300,5300,5300,5500,5300,,,5300,5300,,5500,,5500,5300,5300,5400,5300,,5300,5300,,5700,5300,5300,,,5300,5300,5500,5300,5300,5300,,5300,5500,5300
촉촉 쫄깃 탕종식빵,,,,,,,5300,5300,,5500,,,6500,,,5300,,,,,6000,,,,,5300,,,5300,5300,,5400,5800,,5300,5700,5300,,,,5300,,,,,5300,,,,,,,6000,5800,,,,,,5300,,,,,,5300,,,,,5300,5500,,5300,,5400,5300,,
폭신폭신 우유 브레드,,4200,,,4200,4200,,4200,,,4200,,,,,4200,4200,4200,,4200,4500,,,,,4200,4200,,4200,4200,4400,4300,,4200,,,4200,4200,,,4200,,,,4200,4200,,4300,,,,,4300,4500,,4500,,4200,4200,,,,,,,4200,,,,,4200,,4200,,,4500,4200,,4200
착한 빵식 통밀식빵 (산형),,,5800,,,,,5800,,,,,,,,,,,,,6500,,,,,,,,5800,,,,,,,,,,,,,,,,,,,,,,,,6300,,,6000,,,5800,5800,,,,,,5800,5800,,,,,,5800,,,,,,5800
기본좋은 소버식빵,4800,4800,4800,,4800,4800,4800,4800,4800,5800,4800,4800,,,4800,4800,4800,,4800,4800,5000,,4800,4800,4800,4800,4800,4800,4800,,4800,,4800,4800,4800,4800,4800,4800,4800,,4800,4900,4800,4800,4300,4700,,4800,4800,4800,4800,4800,,,,,,4800,4800,4300,4800,4800,4800,,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
"순, 식빵",,,,,,,,,,,,,,,,,4900,,,,5700,,,,,,,,,,,,,,,,,,,,,4900,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,
호박 패스트리 식빵,,6300,6300,,,6300,6300,,,,6300,,,,6300,6300,6300,,,6300,6800,,,,,,,6800,,,,,6600,,,6600,,,,,,,,,6300,6300,,,,,,,,,,,,,6300,6300,6300,,,,,6300,6300,,,6300,6300,,,,6300,,,6500,6300
(생 생) 생크림 식빵,5300,,5500,,,4900,5000,4900,4900,5500,4900,5400,6900,4900,,4900,4900,,4900,,5900,,,,,5300,,,5300,4900,,4900,,4900,,,4900,4900,5200,,4900,5600,5000,,4900,5400,5400,5200,4900,,5300,,5800,,,,5000,,4900,4900,,4900,4900,,5400,4900,,,4900,5200,4900,5300,4900,4900,4900,5400,4900,5200,
딸기잼 (400g),9900,9900,9900,,9900,,9900,9900,9900,,9900,9900,,9900,9900,,9900,,,,"10,500",9900,,9900,9900,,,,,,9900,,9900,9900,,,9900,9900,,9900,9900,9900,9900,9900,9900,9900,9900,,9900,,9900,,,,10500,10000,,,9900,9900,9900,9900,9900,,,9900,9900,9900,,9900,,9900,9900,9900,,,,9900,9900
딸기잼 320g,8500,8500,8500,8500,8500,8500,8500,8500,8500,8700,8500,8500,9500,8500,,8500,8500,8500,8500,8500,,8500,8500,8500,8500,8500,8500,,,8500,8500,8500,8500,8500,8500,,8500,,8500,8500,8500,8500,8500,,8500,8700,8500,,8500,8500,,8500,8500,11000,9000,8500,8500,8500,8500,8500,,8500,8500,,8500,8500,8500,,8500,8500,8500,8500,8500,,8500,8900,8500,8500,8500
블루베리잼 320g,,9900,9900,9900,,,9900,9900,9900,8700,,9900,,9900,9900,9900,9900,9900,9900,9900,"11,000",9900,9900,,9900,,9900,9900,,9900,9900,,,,9900,9900,,9900,,9900,,9900,,9900,9900,9900,9900,,9900,9900,9900,9900,9900,12000,10500,9900,9900,9900,,9900,9900,9900,9900,,,,,9900,9900,9900,,,9900,,9900,,9900,9900,
딸기잼 130g,,4800,4800,,,,4800,4800,4800,4800,4800,,,,,4800,4800,,,,,,,,,,,,,,4800,,4800,,,,,,,4800,,4800,,4800,4800,4800,4800,,,4800,4800,,4800,,,4800,,4800,,,,,,,,,4800,,4800,,,,4800,4800,,,,4800,
기본좋은 쌀 베이글,3200,3200,3200,3200,3200,3200,3200,3200,3200,3300,3200,3200,3800,3200,3200,3200,3200,3200,3200,3200,3200,3300,3200,3200,3200,3200,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200,3200,3200,3200,2900,3200,3200,,3200,3200,3200,,3800,3300,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200,,,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
기본좋은 올리브 베이글,3300,3300,3300,3300,3300,3300,3300,3300,3300,3400,3300,3300,3700,3300,3300,3300,3300,3300,3300,3300,3400,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300,3300,,3300,3300,3300,3300,3300,2900,3400,3300,,,,3300,,4000,3300,3500,3300,3300,,3300,3300,3300,3300,,3300,3300,,,3300,3300,3300,3300,3300,3300,3300,3400,3300,3300,3300
데일리 블루베리 베이글,3100,,,,,2900,2900,2700,,,,2900,,,,,,,2900,,,,,,,,2900,,3200,,3200,,3500,,,,,,,2900,2900,,,,,3100,3400,,,,,3200,,3500,,,,,,,,,,,,,,,,,2900,,,,2900,,,3200,
데일리 월넛 베이글,3100,,,,,2900,2700,2700,,,,,,,,,,,2900,,,,,,,,,,2900,,3200,,,,,,,,,2900,,,,,2900,3100,,,,,3200,3200,,3500,,,,,,,,,,,,,,,,,,,,,,,,3200,
필라델피아 크림치즈 플레인,7200,7200,7200,,7200,7200,7200,7200,7200,,7200,,8500,7200,,7200,,,7200,7200,7800,7200,6500,7200,7200,,7200,,,7200,7300,7500,7500,7200,,,7200,,7200,7200,,7200,7200,7200,7200,7500,7500,7200,,,,7200,,8500,7200,,,7200,7200,7200,7200,7200,,,7500,7200,7200,7500,,7200,,,,7200,7200,7400,7200,7900,
기본좋은 세서미 베이글,,3300,3300,3300,3300,3300,3300,3300,,3400,,3300,,,,,,3300,3300,3300,3400,3300,3300,3300,,3300,,,3300,3300,3300,,3300,,,,3300,,,,,3300,,,3300,,3400,3300,3300,3300,3300,3300,,,,3500,,,,,,,3300,,,3300,,,3300,3300,,3300,3300,3300,,,,3300,3300
크림치즈 베이글 (기본좋은베이글 랜덤),,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 베이글 (블루베리),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이컨 에그 베이글,,,,4700,,,,4700,,,,,,,,,4700,,,,5300,,4700,,,,,4700,4700,,,,,,,,,,,,,,,,4700,,,,,4700,,,,,,5200,,,,,,,,,,,,,,,,5300,,,,,,,
크림가득 메론빵,,,,,3500,,,3500,,,,,,,,,3500,,,,,,,,,,,3900,3500,,,,,,,,3500,,,,3500,,,,3500,,,,,,,3500,,3700,,,,,,,,,3500,,3800,,3500,,,3500,,3500,,,3500,,3500,,3500
순진우유크림빵,2700,2700,2800,2700,2700,2700,2700,2700,2700,3000,,2700,3200,,,2700,2700,2700,2700,2700,3000,,,2700,3000,2700,,,2700,2700,2900,2800,3100,2700,2700,3000,2700,2700,,2700,2700,2700,,2700,,2800,3100,2900,2700,,2700,,3000,3200,,,2700,,2800,2700,2700,2700,2700,,3000,2700,2700,3100,2700,2700,2700,2800,2700,2700,2700,3200,2700,2900,2700
마담 얼그레이 크림번,3800,,,,,3800,3800,3800,3800,3800,,3800,,,,,,3800,3800,,,,,3800,3800,3800,,3800,,3800,3800,,,3800,,4000,3800,3800,4000,,,3800,,,3800,,,3900,3800,,,3800,,3800,3800,,,,3800,3800,,3800,3800,,,3800,3800,,,3800,3800,,3800,,,,3800,,3800
겹겹이 연유 크림 데니쉬,4900,,,,,,5200,,4900,5500,5400,,7000,5200,4900,,4900,5500,,,6000,5300,,4900,5500,,4900,4900,,4900,5500,4900,5600,4900,4900,5700,4900,4900,5100,,,5400,,,4900,5400,5600,4900,,,5300,,5900,6000,5500,5500,5000,4900,,4900,4900,4900,4900,,5800,4900,,5800,4900,5300,4900,5400,4900,4900,4900,6500,4900,,4900
밤이듬뿍맘모스(소),3000,,,,,,,,,3200,3200,3800,,,,,,3000,,,3400,,,,3200,3300,,,3500,,3000,4300,,,3000,3300,,,,,3000,3000,3000,,,,,,,,3200,,,,,,3000,3000,3400,3000,3000,,3000,,3500,3000,,4300,3000,,,3300,,,,,,,3000
밤이 듬뿍 맘모스(대),5900,,,5900,5900,5900,5900,5900,5900,,,,7400,5300,5900,,5900,5900,5900,5900,,,,,,6000,5900,6600,,5900,,,6000,5900,,6100,5900,5900,6100,,,5900,5900,5900,5900,5700,6000,5900,,,5300,6300,6200,6600,,6000,,,,,5900,5900,,,,,5900,,,5300,5900,,5900,5900,5900,,5900,6500,5900
호두 연유 바게트,4500,,,4500,,,4500,4500,4500,4800,4500,4500,,4500,4500,,,4600,4500,,4800,,,4500,,,4500,4500,4500,,4800,4600,4900,4500,,4600,4500,,4700,,,4500,4500,4500,4500,4600,,,4500,,4500,,4700,5000,,,,,,4500,4500,4500,,,4300,4500,4500,5300,4500,4500,4500,,4500,4500,4500,5300,4500,,4500
사르르 고구마케이크빵,3200,,,,,,3200,,,3300,,,,3200,,,,,3200,,3600,,,,,,,,3200,3200,3500,3700,,3200,,3600,3200,3200,3500,,,3500,,,3200,,,,,,3200,3300,,3400,,,3200,3200,,,,,3200,,3700,3200,,,3200,,,,3200,,3200,3900,3200,,3200
슈크림빵,1900,1900,2000,,1900,1900,2000,1900,1900,2000,1900,1900,2500,2200,,1900,1900,1900,1900,1900,2200,,,,2200,1900,1900,1900,2100,1900,2300,2200,2700,1900,1900,2100,1900,1900,2000,,1900,1900,1900,1900,1900,2100,,1900,1900,1900,2000,2000,2200,2200,2000,2300,,1900,1900,1900,1900,1900,1900,,2000,1900,1900,2600,1900,1900,1900,2000,1900,1900,1900,2600,1900,2200,1900
후레쉬크림빵,1900,,2000,,1900,2100,2000,1900,1900,2000,2100,1900,2500,2200,1900,1900,1900,1900,,1900,2200,,,,2200,,1900,2200,2200,1900,2300,2200,2700,1900,1900,2300,1900,1900,2000,,1900,2100,2000,1900,1900,2100,2100,2100,1900,1900,2000,2000,2200,,2000,2500,2100,1900,1900,1900,1900,1900,1900,,2100,1900,1900,2300,1900,1900,1900,2100,1900,1900,1900,2600,1900,,1900
부드러운후레쉬크림샌드빵,6000,,6400,6200,6000,6000,6000,6000,6000,3500,6000,6000,7800,6100,6000,6000,6000,6500,6000,6000,7200,,,,6500,6300,6000,6600,6000,6000,6200,6000,3900,6000,6000,6500,6000,6000,6200,,,6500,6000,,6000,6200,6500,6000,6000,,6300,6300,6900,,6900,6500,6000,6000,,6000,6000,6000,6000,,6800,6000,6000,6300,6000,6000,6000,6500,6000,6000,6000,,6000,6500,6200
크리미 단팥,,,,2300,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,2300,2300,,,2300,,,,,,,,,,2300,,,,2500,,,,2300,,,,,,,,,,,,,,2300,,,,,,,
크리미 고구마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,,,2300,,,,,,,,,,2300,,,,2500,,,,2300,,,,,,,,,,,,,,,,,,,,,
신선해 고소해 후레쉬 크림빵,,,,1900,,,,,,,,,2500,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,
진짜 고소한 땅콩 크림빵,,,,1900,,,,,,,,,,,,,,,,,1900,,1800,,,,,,,,2300,,,,,,,,,,,,,,,,,1900,,1900,,,,2200,,,,,,,,,,,,,,2300,,,,,,,,,,2200,
리얼 초코 소라빵,3000,,3000,,3000,3000,3000,,3000,3000,3000,3000,3300,2800,3000,3000,3000,3000,,3000,3000,,,3000,3000,3000,3000,3000,3000,3000,2900,3000,3300,3000,3000,3000,3000,3000,3000,,3000,3000,3000,3000,3000,2800,3100,3000,,,3000,,,,,3200,3000,3000,3000,3000,3000,3000,3000,,3000,3000,3000,2800,3000,3000,3000,3000,3000,3000,3000,3200,3000,3000,3000
