뚜레쥬르 지점,뚜레쥬르 전남강진,뚜레쥬르 나주혁신중앙,뚜레쥬르 순천선평,뚜레쥬르 순천왕지유심천,뚜레쥬르 전남고흥,뚜레쥬르 광양중마사랑,뚜레쥬르 전남구례,뚜레쥬르 목포하당중흥,뚜레쥬르 목포용해,뚜레쥬르 목포남악부영,뚜레쥬르 남악오룡,뚜레쥬르 순천용당,뚜레쥬르 순천조례명성,뚜레쥬르 여수도원,뚜레쥬르 여수죽림,뚜레쥬르 여수쌍봉,뚜레쥬르 여수엑스포타운,뚜레쥬르 전남완도,뚜레쥬르 진도,뚜레쥬르 광주수완대방,뚜레쥬르 광주월계,뚜레쥬르 광주첨단대라수,뚜레쥬르 광주백운,뚜레쥬르 광주백운DT,뚜레쥬르 광주진월,뚜레쥬르 광주금남로,뚜레쥬르 광주서방,뚜레쥬르 상무,뚜레쥬르 광주동림
소보로빵,2200,1900,1900,1900,1900,1900,2000,1900,1900,1900,2300,1900,1900,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
단팥소보로빵,3000,3000,3000,,,3000,3000,3000,3000,3200,,3000,3000,3000,3200,3000,3000,3000,,3000,3000,3000,,,3000,3000,,,3000
오리지널 커피번,3400,3300,,3300,3300,3300,3300,3300,,3300,3600,3300,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,,3300
곰돌이 푸_ 부드러운 카스테라,2700,2900,2900,2900,,,2300,2900,,2900,3000,2900,2900,2900,3000,,2900,2900,2900,2900,2900,2900,,,2900,2900,2900,2900,2900
완두 앙금빵,2000,1900,1900,1900,1900,2100,1900,1900,1900,1900,2300,1900,1900,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
완두가득 완두 앙금빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛보로 소보로빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팥이 빵빵 단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 월넛브레드,,5400,,,5400,5400,5400,,,5500,5400,5400,5400,,,5400,,,5400,,5400,5400,5400,5400,5400,,,,5400
카페모카빵 (소),,3500,3500,3500,3500,3200,,3500,3500,3800,3500,3500,,,3500,3500,,,3500,3500,,3500,3500,3500,3500,3500,3500,,3500
카페모카빵(대),5300,,,,,,4900,,,,,,,5300,,,5300,5300,,,5300,,,,,,,,5300
카페모카크림빵 (소),,,3900,3900,3700,3900,3900,3800,3900,3900,,3900,3900,,4000,3900,,3900,,,3900,3900,3900,3900,3900,,3900,,3900
카페모카크림빵 (대),,,,,,,,,,,,,5900,5900,,,,,,,5900,,,,,,,,
미니치즈롤 (봉),,4700,,,,,4900,,,4900,,4900,,,,,,4900,,,,,,,4900,,,4900,
쫄깃한 찹쌀 도넛,2200,2000,1800,1800,1800,1800,1800,2000,1800,,,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
엄마랑 장볼 때 먹던 그때 그 도나쓰 5개입,2500,3500,3500,3500,2500,3500,2500,3500,3500,3700,1900,3500,3500,,3500,3500,3500,3500,,3500,3500,3500,,,3500,,3500,3500,3500
옛날 꽈배기 도넛,2100,1900,1900,1900,1900,1900,2200,2200,1900,2100,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
앙 호두 버터 샌드,5400,5200,,,,,,5200,5200,,,5200,,5200,,,,,,,,5200,,,,,,5200,
카스테라우유크림블,5100,5100,5100,,,5100,4600,5100,,5300,5100,5100,5100,5100,5300,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,,5100,,5100
클래식 딸기잼 맘모스,6300,6200,6200,6200,6200,6200,,6100,,,,6200,,6200,6500,6200,6200,6200,6200,6200,6200,,6200,6200,6200,,,,6200
클래식 딸기잼 맘모스 (소),,3500,,,,,3500,,3500,3500,,,,,,,3500,,,,,3500,3500,3500,3500,,3500,,
라구 소시지 피자빵,3800,2800,,,,,,,,,,,,,,,,3800,,3800,3800,,,,,,,,
뚜레1번가 치킨치즈롤,,4300,,,4800,,4800,,,,,4800,,,,,,4800,,,,,4800,4800,,,,,
크로크무슈,3900,3300,,3300,3300,3300,3400,3500,3300,2000,3900,3300,3300,3300,3700,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,1800,,3300
소시지 쌍쌍 브레드,3800,3200,,,3200,3400,,,3200,3400,,,3200,3200,3400,,3200,,3200,3200,3200,,,,3200,,3200,3200,3200
더블 롤치즈 식빵 (소),,,,,,,,,,,,4200,,,,,,,4200,,,,,,,,,,
치즈방앗간 (3개),4800,4500,,,,4500,,4700,4500,4500,,4500,,4500,,4500,4500,4500,,4500,4500,,4500,4500,4500,4500,4500,,4500
달콩찹쌀브레드,,,4500,4500,4500,,4000,,,,,4500,,,,,4500,,,,,4500,,,,4500,,,
옛날 단팥 도넛,2300,2300,2300,2300,2300,,,2200,2300,,2300,2300,2300,2300,,2300,2300,2300,2300,,2300,2300,2300,2300,2300,,2300,2300,2300
못난이 감자치즈(3개입),,4700,4700,4700,,4700,,,4700,,,4700,,,,,,,4700,,,4700,4700,4700,,4700,,,
매콤치킨랩,,7200,,,7200,,,,,,,7200,,,,,,,,7200,,,,,,,,,
클래식 휘낭시에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드비스킷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드밀크 초코볼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호두카라멜 스콘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치즈 브라우니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이 밀크롤인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 초코칩머핀 (1봉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 크림치즈머핀 (1봉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹차 카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허니카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벌꿀 카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주첫물녹차카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포실포실 솜사탕 (랜덤 1개),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛있게 뜯어먹는 순우유쉬폰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
클래식파운드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초코찰떡파이 검은깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입 크런치 비스킷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥떡쑥떡 콩쑥이,,,,,,,,4300,,4300,,,,,,,4300,4300,4300,4300,,,,,,,,,
리얼 브라우니,,,,,,,,,,,3500,,,3500,,,,,,,,,,,,,,,
옥수수범벅,2800,2700,2700,,,,2700,,,,,2700,2700,,2700,2700,2700,2700,,,2700,,,,2700,2700,2700,,
빵속에리얼초코,2900,2600,,2600,2600,2600,,2700,2600,3000,2800,2600,2600,2600,2600,2600,,,2600,2600,2600,2600,2600,2600,2600,,2600,2600,2600
크림가득 모카번,,,,,,,,,,,,,,,,,,,,,,,4200,4200,,,,,
바삭 몬테크리스토 (1/2),,,,3300,2300,,,,,,,,,3300,,,,3300,,,3300,,3300,3300,,,3300,,
고메버터식빵,,5300,,,5300,,,,,,,5300,5300,,,5300,5300,,5300,5300,5300,5300,5300,5300,,5300,,5300,
콥샐러드,,,,,,,,,8300,8300,,,,,,8300,,8300,,,,,,,8300,,,,8300
바로굽는 토스트식빵,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,
고소함이 톡톡 곡물식빵,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,
고단백하루견과곡물브레드,,,,,,6300,,6300,6300,,,6300,,,6500,,6300,6300,,6300,,,6300,6300,,,,,
아침엔 보리쌀롤 (6개입),,,,,,,,,,,4700,,,,,,,,,,,,,,,,,,
간편하게 발라먹는 앙버터 스프레드,,,,,,,3700,,,,,,,,,,,,,,,3900,,,,,,,
뚜쥬맘계란토스트(1/2),,3500,,,,,,,,,,,,,,3500,3500,,,,,,,,,,,,
치즈치즈번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산 쪽파&베이컨,,,,,2900,,,2900,,2900,,2900,,,,,,2900,2900,,,,,,2900,,,,2900
앙버터 소금버터롤,,,2900,,,,,,,,4300,,,4300,,4300,,4300,,4300,,,4300,4300,,,,,
잠봉뵈르 소금버터롤,,,,4300,,,,,,,,,,,,5200,,5200,,,,,,,,,,,5200
초코 퐁당 코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카라멜러스크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 그릴치킨 샐러드,,,,,,,,,,,,,,,,8400,,,,,,,,,8400,,,,8400
햄&포테이토 샐러드 샌드위치,,7400,,8500,,,,,,7400,,,7400,,,,,,7400,,7400,,7400,7400,7400,,,,
크랜베리치킨 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
썸머타코 치킨 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레드타코치킨 샌드위치,7200,7000,,,7000,,7000,7200,7000,7300,,,7000,,,,,,7000,7000,,,7000,7000,7000,,,7000,7000
TLJ 치킨클럽 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통밀레드치킨 샌드위치,,,,,,,7000,,,,,,7000,,,,,,,,,,,,,,,,
머쉬룸불고기샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치킨 텐더 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72겹의 정성 데니쉬 식빵,6800,,,,,,,,,,,6500,,,,,,,,,6500,6500,,,,,,,
폭신폭신 모닝롤 (8개입),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유퐁당밀크브레드(소),,,,,,3200,,3200,,3200,,3200,,,3500,,3200,,,,,,3200,3200,3200,,3200,,
생크림 크라상,,,3200,3200,,,,,,,,,,,,,,,,,,,,,,,,,
생크림소보로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유크림만난단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(대),5300,,,,,5900,,5900,,,,5900,,5900,,,,5900,,,5900,,,,,,,,5900
매직모카크림빵,6400,,,,,5900,,,,,,5900,,5900,,,5900,,5900,5900,,,,,,,,5900,
사르르 우유크림빵,,,5900,,,,,,,,,,3200,,,,,,,,,,,,,,,,
갈릭 치즈바게트,,4200,,,,,4200,,4200,,,4200,4200,,,,,,,,,4200,,,4200,,,,
피자바게트,,,,4200,,4700,4700,4700,4700,,4700,,,,,,,,,,,,,,,,,,
휭거마드레느,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겉바속촉 꿀버터 바게트,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마늘빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입두입미니단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로만든 버터 갈릭꽈배기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로 만든 버터 갈릭 꽈배기,,,,,,,,,,,,,,3300,,,,,,,3300,,,,,,,,
초코마카롱도넛,2400,2200,,,2200,2200,2200,2200,2200,2200,2200,2200,,,2400,2200,2200,2200,2200,,2200,,2200,2200,2200,,2200,2200,2200
딸기마카롱도넛,2400,2200,,2200,2200,,,2200,2200,2200,2200,2200,,2200,2400,2200,2200,2200,2200,,2200,,2200,2200,2200,,2200,,2200
피크닉 튜나 샌드위치,,6900,,2200,,,,,,,,,,,7100,,,,,6900,,,,,,,,6900,
후랑크 패스트리,,,,,,,3300,,,,,3300,,,,,3300,3300,,3300,3300,,3300,3300,3300,,,,
고단백치킨&아보카도샌드위치,,,3300,3300,,,,,,,,,,,,,,,,,,,,,,,,,
고단백치킨페스토곡물샌드위치,,,,,7500,,,,7500,,,,,,7800,,7500,7500,,7600,,,,,,,,,
통밀 튜나샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그릴치킨 오렌지 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2배 더 진해진 순진 우유식빵 (half),,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,
쌀모닝 바게트 (2개입),,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,
메이플피칸크림치즈베이글(월넛),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블루베리 크림치즈,,,,,2900,,,2900,,,,2900,,,,,,,2900,,,,2900,2900,,2900,,,
뚜쥬맘계란토스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산쪽파 송송 고로케,3500,3500,,,3500,3500,,3200,3500,3500,3500,3500,,3500,,3500,3500,3500,,3500,,3500,3500,3500,,3500,,,3500
말차 퐁당 코르네,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,
트러플 소금버터롤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그마요샌드위치,,,,,,,,,,,,,,7300,,,7300,,7300,,,,,,7300,,,,7300
겹겹이 데니쉬,4600,,,7300,4500,,,4500,4500,,,,,4500,,,,4500,4500,,,,4500,4500,4500,,4500,4500,
메이플피칸크림치즈,,,,,2600,,,2900,,,,,,,,,,2600,2600,,,,,,,,,,
까망쿠키 속 리얼말차크림빵,,,,,,,,,,,,,,,,,,,,,,,3900,3900,,,,,
고단백하루견과스틱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고단백허니러스크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그마요샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불고기치즈바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치(1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄에그 샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄치즈 에그 샌드위치 (1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바삭연유콘치즈,,,,,,,,,,,,,,2900,,,,,,,,,,,,,,,
사과만난 크림치즈 브레드,,3700,,,,,,,,3700,,,,,,,,,,,,,,,,,,,
퐁신퐁신 우유 도넛,,3200,,,,,,,,,,3200,,3200,,,,3200,,3200,,,3200,3200,,,,,
쏙쏙 토스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씨앗가득 고소함이 찰떡,,,,,,,,,,,,,,,,,,5200,,,,,5200,5200,,,,,
고구마 소보로,2500,,,,2300,3300,3300,,,,3300,3300,,3300,,,3300,,3300,3300,3300,,3300,3300,3300,3300,,,
단.계.감.모닝롤 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(소),,3000,,,,,,,,,,,,,,,,,,,,,3000,3000,,,,,
울퉁불퉁 왕찰떡빵 (대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유퐁당밀크브레드(대),6000,,,,6000,,,,,,,6000,6000,6000,,,,6000,,,6000,,,,,,,,6000
마구마구 고구마,,,,6000,,,5600,,,,,,,5600,,,,,,,,,,,,,,,
연유버터라우겐,4600,,5600,,,,,4900,,,,,,,,,,,,,,,,,,,,,
앙버터라우겐,,,,,,,,,,,,4900,,4900,,,,,,,,,,,,,,,
새우오믈렛토스트,,4700,,,,,,4700,,,,,,,,,4700,4700,,,,4700,4700,4700,,,,,4700
포테이토&튜나 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크랜베리치킨 베이글 샌드위치,,,,,,,7200,,,,,,,,,,,,,,,,,,,,,7200,
베지텐더 밸런스랩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그샐러드 (랜치),,8500,,,,,,,,,8500,,,,,,8500,,,,,8500,,, ,,8500,8500,
반숙란 샌드위치(1/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에그쏙 텐더 샌드위치,,,,,7200,,,7500,,7300,,,,,,,,6900,,,6900,,,,6900,,,,
핫치킨치아바타,,,6900,7600,,,,,,,,,,,,,,,,,,,,,,,,,
햄치즈 토마토 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 단호박 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
착한 빵식 통밀식빵 (사각),,,,,,,,,5200,,5200,,,,,,,,,,,,,,,,,,
"순, 식빵 (대)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"순, 식빵 (소)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소 담백 더치브레드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데일리 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복숭아잼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림듬뿍 슈크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바삭 몬테크리스토,,,,,,,6000,,,,,6300,,,,,,,,,,,,,,,,,
남해 마늘로 만든 마늘 치킨 고로케,,,,,,,,,,,,,,,,,,3300,,3300,,,,,,,,,
에그마요 소금버터롤,,,,,,4300,,,,,,,,,,,,4300,,,,,4300,4300,,,,,4300
더블 롤치즈 식빵 (대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW 치즈바게트,,,,,,,,,,,,,,,,,,5200,,,,,,,,,,,